"Tossup Question","Answer","Category","Author","Edited","Packet","Question Number","Comments","Id"
"While engaging in a contest of wits with Gagnrad, Vafthruthnir prophesizes that this deity will survive the ""end of men."" In the ~Lokasenna~, Loki claims that while this deity was being held hostage by giants, the daughters of Hymir urinated in his mouth. In the Ynglinga Saga, this god was said to have succeeded Odin as one of the legendary kings of Sweden. Following the Aesir-Vanir War this god and his son were exchanged for Hoenir and Mimir. This god was forced to live apart from his wife, (*) Skaði (skah-thee), due to his desire to remain at Nóatún and her desire to live in the mountains. That wife, the daughter of Thjazi (thyah-zee), initially intended to marry Baldr but was taken by the beauty of this god's feet. For 10 points, name this father of Frey and Freya, the Norse god of wealth, wind, and the sea.","_Njörð_r (Nuh-yord)","Myth - Myth","Bubolz","False","Packet 15","999","Hbunker: change sentences that are about peopled related to Njordr||","12695"
"This compound is mixed with potassium persulfate in diethyl ether to form a dimeric peroxide derivative used as an organic explosive. Methyl methacrylate is produced from a reaction of hydrogen cyanide and this compound. This compound is completely miscible with, and does not form an azeotrope with, water due to its strong dipole moment. A special strain of ~Clostridium~ produces n-butanol, ethanol, and this compound in the ABE fermentation.  This compound and phenol are produced from a rearrangement of benzene and propylene in the (*) cumene process. Like methanol, this compound mixed with dry ice creates a -78 Celsius bath. This polar aprotic solvent is missed with sulfuric acid and chromium trioxide in the Jones oxidation. For 10 points, name this simplest ketone found in nail polish remover.","_acetone_  [or 2-_propanone_, _propan-2-one_, _dimethyl ketone_]","Science - Chemistry","Magin ","True","Packet 10","999","","12696"
"Two instances of this functional group and two benzene rings appear in a compound created via an unusual 5,5-sigmatropic migration, called benzidine. Troger's base unusually contains this functional group at bridgeheads. A derivative of naphthalene containing two of this functional group creates the Proton Sponge. Aqueous sodium hydroxide mixed with benzene sulfonyl chloride is used to detect this functional group in the (*) Hinsberg test. This functional group is cleaved from an alkylated phthalimide in the Gabriel synthesis. Depending on the number of alkyl groups attached, this functional group can be primary through quaternary, and they appear alongside a carboxyl in the building blocks of proteins. For 10 points, name this functional group consisting of a carbon single bonded to nitrogen.","_amine_ [accept primary, secondary, tertiary, or quaternary _amine_]","Science - Chemistry","Magin ","True","Packet 05","999","","12697"
"The Bezprizorniye were a group of homeless children left in the aftermath of this war, and they were aided by an organization founded after this war by Anatoly Lunacharsky. One mutiny among soldiers fighting in this war was suppressed with French assistance at La Courtine. The ""battalion of death"", named for its high mortality rates, was an all-female force that fought in this war. General Anton (*) Denikin was charged with suppressing soldiers' political organization during this war. The Brusilov Offensive was one of this war's deadliest operations, and the slogan ""peace, land, and bread"" was coined in opposition to this war. A provisional government under Alexander Kerensky and Georgi Lvov was toppled by its refusal to withdraw from this war. For 10 points, name this war that Russia withdrew from in the Treaty of Brest-Litovsk in 1917.","_World War I_ [accept __Russian Civil War__ until ""La Courtine""]","History - Euro","Myers","False","Packet 15","999","jsmyers: Note: incomplete||Hbunker: Michael Coates said this tossup was kind of a hose for Russian civil war. I'd agree and recommend adding a clue that unambiguously did not lead to Russian Civil War. He buzzed in power after Lunacharsky so he obviously had knowledge. Maybe anti-prompt on ""Russian civil war"" afterwards?||","12699"
"To support this theory, Albert Cohen argued that many low income boys lack the skills to measure up to the middle class peers in face of a criticism that it could only explain the behavior of low income individuals. A revision to this theory includes emotional characteristics and individual social environment and was developed by Robert Agnew. The ""general form"" of this theory argues that the existence of the title phenomenon generates negative emotions such as anger and despair. According to this system, the rejection of institutionalized (*) means and cultural goals causes retreatism which is one of the five adaptations to the title phenomenon. This theory was meant to explain why rates of deviance differed between societies. Robert K. Merton created, for 10 points, what theory in sociology that argues that social structures pressure people to commit crimes?","_Strain_ Theory ","Social Science - Other","Bunker","False","Packet 14","","Hbunker: This may or may not be too long||","12700"
"Ames, Rose, and Anderson simplified one inventory for this disorder to 16 questions. Theodore Millon's subtypes of this disorder include unprincipled, compensatory, and amorous. A recently formulated trait by Malkin et al identifies people who are ""warm-hearted"" and attracted to people with this personality disorder. This disorder, first identified by Robert Waelder, has a 40-question personality inventory invented by Raskin and Hall. Celebrities score (*) higher for this trait that is part of the ""Dark Triad"" along with Psychopathy and Machiavellianism. The DSM-V (five) associates the impairments in self-functioning due to this Cluster B disorder with excessive reference to others for self-esteem. Additionally, there must be impairments in intimate relationships and in empathy. For 10 points, identify this personality disorder named after a beautiful Greek hunter who was only in love with himself and turned into a flower.","_Narcissistic_ Personality Disorder [accept _NPD_ and just _Narcissism_] \(""Echoism"" is the trait invented by Malkin and others\)","Social Science - Psychology/Sociology","Bunker","False","Packet 10","999","ryan.rosenberg: The paper in the first sentence has 56 citations, it seems way too hard for a lead-in here.||Hbunker: Ryan: do you think tossup would be okay if just the lead-in was cut? I'm not a abnormal psychologist or a neurologist so I do not really know where to look for super deep lead-ins here. Should I ask about a drug used to treat NPD?||ryan.rosenberg: I don't know much about NPD either, but this paper talking about the potential exclusion of NPD from the DSM-V seems interesting: https://www.ncbi.nlm.nih.gov/pubmed/20853916. It ultimately was kept in, but that seems like a reasonable leadin. Alternatively, if you're fine going across SS categories, Christopher Lasch's The Culture of Narcissism could make a good clue.||emukherj: Oh hey, things I learned in school. Give me a day, I'll fix this.||","12710"
"The first inorganic conducting polymer discovered consisted entirely of these two elements. A group of drugs that inhibit PPAR-gamma and are used to treat diabetes contains carbon and these two elements in a five-member ring. Carbon is double bonded to both of these elements in the reagent used in the Edman degradation. These two elements are found in the heterocycles of biotin, (*) penicillin, and the five-member ring of thiamine. These two non-oxygen, non-hydrogen, and non-carbon atoms are also found in both cysteine and methionine. Because they lie diagonally across each other on the periodic table, they have very similar electronegativities. For 10 points, name these two elements which are symbolized yellow and blue in molecular model kits, and which have atomic numbers 7 and 16.","_sulfur_ and _nitrogen_ [or _N_ and _S_; accept in either order]","Science - Chemistry","Mukherjee","True","Packet 08","999","emukherj: Made the answerline more interesting and edited appropriately||Hbunker: People said this answerline was strange (?)||emukherj: I don't have much sympathy for that tbh||","12713"
"One person with this surname was an architect who made some eponymous houses as part of a garden city project and designed the residential area Im Langen Loh. A Charles with this surname painted such works as ~Young Woman in Front of a Mirror~ and a ~Southern Landscape~. The concept of expected utility was added to the (*) St. Petersburg paradox by a thinker with this name whose father advised Leonhard Euler. In his ~Ars Conjectandi~, another mathematician with this name produced a formulation of the Law of Large Numbers. ""Dummy variables"" are often described by this surname's namesake distribution. For 10 points, give this surname of a Basel (BAH-sul) family that also names a principle in fluid dynamics about the relationship between pressure and velocity.","_Bernoulli_ [accept any of _Elisabeth Bernoulli_, _Hans Benno Bernoulli_, _Charles Bernoulli_, _Johann Bernoulli_, _Jacob Bernoulli_, _Daniel Bernoulli_]","Other Academic - Other Academic","Bunker","False","Packet 01","999","Hbunker: consider deleting reference to Elizabeth||Hbunker: ""One person with this surname, named Elisabeth led the BAF in 1907 as part of her campaign for prohibition for her country."" was cut||","12715"
"This author wrote a poem in which a man encounters the grave of a virgin and envisions ""Death and this mad heroine"" meeting ""on a mortal wall."" One of this poet's speakers claims that he is ""dumb to tell the hanging man/How of my clay is made that hangman's line. That speaker also says that the force that drives [his] green age"" is his destroyer. The line ""after the first death, there is no other"" ends a poem by this man about the (*) Blitz, which he also wrote about in ""Deaths and Entrances."" The speaker of a poem by this author of ""Death Shall Have No Dominion"" notes that ""grave men, near death...see with blinding sight"" This poet's most famous work is a villanelle that urges men to ""rage against the dying of the light."" For 10 points, name this Welsh poet of ""Do Not Go Gentle Into That Good Night.""","Dylan _Thomas_","Literature - British","Suttell","False","Packet 01","999","","12718"
"Yasumasa Morimura parodied a version of this scene by covering the main figure's face with cabbage. The aftermath of this event is depicted in a grisaille tempera painting by one artist who also painted this scene depicting only a figure's foot on the right side as he lies underneath a pink tent. A non-Guido Reni painter possibly used the death of Beatrice Cenci as inspiration for his depiction of this scene.  A (*) maid stands next to one of the title figures in most depictions of this scene, including works by Mantegna and Caravaggio. The most famous version of this scene was painted after its artist was raped by Agostino Tassi. For 10 points, identify this scene most famously depicted by Artemisia Gentileschi that shows the decapitation of an Assyrian general by a Biblical woman.","_Judith_ Beheading _Holofernes_ [accept reasonable answers that mention both _Judith_ and _Holofernes_, prompt on partial answer]","Arts - Painting","Suttell","True","Packet 06","999","","12719"
"One painter from this movement depicted her sister in a purple dress seated next to her son. That artist's husband was a ceramicist known to frequently disparage her work. A painter from this movement appears on the left side of a balcony in a work by her brother-in-law, who portrayed her in all black with a bouquet of violets. A third artist from this movement showed her mother reading ""Le Figaro"" in one portrait, and frequently depicted women using (*) opera glasses in theaters. One of the ""Three Great Ladies"" of this artistic movement showed a woman dipping a girl's feet into water in a Japanese-influenced work. This movement's foremost American member painted ~The Loge~ and ~The Child's Bath~. For 10 points, identify this mainly French artistic movement whose painters included Berthe Morisot and Mary Cassatt. ","_Impressionism_","Arts - Painting","Suttell","True","Packet 01","999","","12721"
"This artist built a large collection of Kachina dolls when he lived in Arizona for eight years. A monster reaches out and creates a swastika with its limbs in this artist's ~Fireside Angel~. A man wearing orange swim-trunks is seen upside-down in a green pool in a De Chirico-inspired work by this artist. Another of this painter's works features a nude woman wearing an orange fur coat that also covers her face. This artist of ~Disrobing of the Bride~ claimed that one work was ""a kind of farewell"" to his previous experiences with (*) collages. In that painting, a man reaching towards a red and blue knob, and was based on a childhood nightmare. A technique developed by this artist involves rubbing uneven surfaces to create a drawing. For 10 points, identify this artist of ~Two Children are Threatened by a Nightingale~ who pioneered frottage.","Max _Ernst_","Arts - Painting","Suttell","True","Packet 12","999","Hbunker: possibly try to make the description in second line more evocative ||","12722"
"This kingdom's capital became one of the first cities to switch to electric light after its monarch met with Thomas Edison in 1881, and this kingdom redistributed land during a period of reform called the Great Mahele. This kingdom's government was temporarily overthrown by the British naval officer George Paulet in 1843, after which a motto translating as ""The life of the land is perpetuated (*) in righteousness"" was coined. This kingdom elected its monarchs Lunalilo and Kalakaua due to its founding dynasty's extinction.This kingdom was forced to accept the Bayonet Constitution before being overthrown by Lorrin Thurston, and its monarchs ruled from Iolani Palace, where its last queen, Liliuokalani, was imprisoned. For 10 points, name this kingdom that was annexed by the United States more than 60 years before it became the 50th state. ","_Hawaii_","History - US","Myers","False","Packet 09","999","","12731"
"One scholar born in this modern-day country applied bargaining theory to Rawl's original position and wrote ~Game Theory and the Social Contract~. An ethical work by an author born in this modern-day argues that morality comes from ""fellow feeling"". That book by an author from this country was criticized for not offeingr a standard of virtue for measuring the emotions of the moral actor. An economist from this country introduced the idea of consumer surplus, wrote an influential (*) ~Principles of Economics~ book and his namesake demand curve only shows the relationship between the price and quantity of a good. The examples of wine and cloth were central to the theory of comparative advantage in trade, which was developed by a thinker from this country. For 10 points, name this modern-day country of the economists David Ricardo and the author of the ~Theory of Moral Sentiments~, Adam Smith.","_Great Britain_ [also accept _U_nited _K_ingdom, _England_ or _Scotland_]","Social Science - Economics","Bunker","True","Packet 11","999","ryan.rosenberg: The Theory of Moral Sentiments clue seems extremely vague, to the point of not being buzzable. Those are fairly generic things that most ethicists would point to as qualities of a good person. ""Another economist from this country made some early contribution to welfare economics"" is also very vague and not buzzable; adding a specific Ricardian innovation or anything to distinguish Ricardo from other early welfare economists would be great.||Hbunker: that's actually a clue about Marshall but yeah that clue is vague||Hbunker: improved Smith and Marshall clues||Hbunker: clean up the prose||","12732"
"The mass transport of this material is proportional to the third power of the excess wind speed according to Bagnold's formula. Non-wasp organisms of genus ~Ammophila~ have been introduced to features composed of this material in order to preserve them. This material makes up seifs, which are formed when the prevailing winds come from multiple directions. Under one predominant wind direction, this material can form crescent-shaped structures pointing in the wind direction known as (*) barchans. A large expanse of this material made of gypsum covers an area in southern New Mexico named for its ""white"" kind. An area of land mostly covered by this material is referred to as an erg. This material is defined by being finer than gravel but coarser than silt. For 10 points, identify this particulate material which makes up dunes.","_sand_","Science - Earth","Magin ","True","Packet 13","999","CPiGuy: hm, i don't like dropping ""sandstone"" so early. super sweet idea for a TU though. will come back and edit more later||CPiGuy: Edited to be on sand in general for less transparency and more clues.||","12733"
"Kenneth Wilson developed a method of calculating the mass of hadrons and an excited state of these other particles that did not depend on phenomenological observation. That object related to these particles can be seen as the eigenstates of the quantized simplest closed Nambu -- Goto string. The PLUTO experiment confirmed that these particles can be emitted in a way analogous to bremmstrahlung. Using the measurements of the Ellis-Karliner angle, the TASSO experiment showed this particle has a spin of 1. The only particles in the standard model with a possible total angular momentum of 2 or 3 in ground states are hypothetical (*) ""balls"" of these particles. In QCD, this particle has 8 independent types, including red-antiblue plus blue anti-red. This particle acts as the messenger particle of the strong force. For 10 points, name this elementary particle which holds atomic nuclei together.","_gluon_s [accept __Glueballs__ before ""balls"" is read; prompt after mention]","Science - Physics","Kruskie","True","Packet 01","999","Hbunker: Add a clue about quark gluon plasma||Hbunker: remove reference to color force and possibly make less transparent (?)||Hbunker: slight improvement||touchpack: 1) Say ""using measurements of the Ellis-Karliner angle,"" that's more correct than the current wording. 2) ""Bremmstrahlung for this particle"" is a bit of a nonsensical phrase--based on a cursory google I think ""These particles can be emitted in an analogue of bremmstrahlung"" is correct. 3) Cut/replace the second sentence, it's too vague to be useful (and I suspect making it more specific would make it transparent). 4) Is it even true that Wilson calculated the mass of glueballs? I can't find anything saying that from a cursory google. It seems more likely to me that perhaps someone else used Wilson's work on the renormalization group to calculate the mass of glueballs. Also, saying ""an object made of these particles"" is a little transparent--say ""an excited state of these particles"" instead.||Hbunker: fixed. Changed second sentence but may want to do reverse clue look up on QuizDB||","12735"
"One term partially-named after this quantity is the solution to an equation whose right hand side is energy squared minus the product of the squared norm of momentum with the speed of light squared. Some lattice computation have confirmed the existence of one observation partially named for this quantity that is central to a problem in Yang-Mills theory. The (*) log of the ratio of two versions of this quantity are multiplied by the exhaust velocity to yield the change in velocity in the Tsiolkovsky rocket equation. Research into neutrino oscillations may confirm whether it has a positive value for this quantity. The moment of inertia for a pendulum is given by the this quantity times radius of gyration squared. For 10 points, identify this quantity given by linear momentum divided by by velocity: which is multiplied by acceleration to give the net force in Newton's second law.","_mass_ [also accept _mass gap_, _mass shell_, _rest mass_, or _invariant mass_, or just _m_]","Science - Physics","Kruskie","True","Packet 07","999","Hbunker: improve giveaway||touchpack: Honestly I would cut the entire first 3 sentences of this tossup and write from scratch--the first clue is simultaneously guessable (because of the hint at neutrinos) and unparseable (even after seeing the answer and googling, I can't figure out what it's trying to say). The 2nd sentence is just very guessable (hm some quantity in classical mechanics that multiplies acceleration in this equation, you say). The third sentence is definitely not unique (like, velocity would clearly also be 0, and I bet a ton of other things would be 0 as well). For some alternate clues, try reading up on the mass shell and/or the mass gap.||","12736"
"This continuous distribution can be used by civil engineers to estimate the time the ~k~th vehicle arrives at the measurement location. A special case of this distribution, defined only for positive integers, was used to model the number of telephone calls and is named for Erlang. When the first parameter of this distribution is 1, the exponential distribution results, and when both parameters are equal to one half, the distribution is equivalent to the (*) chi-square distribution with one degree of freedom. This distribution has mean alpha over beta, where beta is the rate parameter and alpha is the shape parameter. This distribution shares its name with a function defined as the improper integral of ~x~ to the quantity ""~z~ minus 1"" times ~e~ to the negative ~x dx~. For 10 points, identify this statistical distribution named after a function that generalizes the factorial to complex numbers. ","_Gamma_ Distribution [accept _Erlang_ distribution before mention; prompt on __exponential distribution__ before mention]","Science - Math","Bunker","True","Packet 07","999","Hbunker: Note that this distribution is continuous to rule out answers of Poisson even if they are wrong. Check the accuracy of the Erlang clue.||","12737"
"In a play by this author, an actress gives her love interest a medallion instructing him to open his most recent novel to page 121. In another play by this author, a clumsy clerk is nicknamed ""twenty-two misfortunes"" and a family boasts that their estate is listed in the ""Encyclopedic Dictionary"". In another of this author's plays, only Dr. Dorn enjoys a play written by an author who later shoots (*) himself twice, the last time fatally. Two men kiss at a party in one of this author's plays at which Charlotta does card tricks. This author wrote a play in which the servant Firs and the businessman Lopakhin were both former serfs to the family of Madame Ranevsky, and in which a string breaks as the title property's namesake trees are cut down. For 10 points, name this author of ~The Seagull~ and ~The Cherry Orchard~.","Anton _Chekhov_","Literature - Euro","Myers","True","Packet 04","999","jsmyers: Cleared up wording; added a clue||Hbunker: I don't think selling their estate should be so early. This could be beefed up.||","12738"
"One story collection named for this country's capital includes stories like ""The Hell of Cars"" and ""Young Titans"" and was written by an author with a Latin pseudonym meaning ""I have suffered much."" Another novel from this country narrated by a coffee merchant decries the forced cultivation of coffee in this country's colonies and was written under the pseudonym Multatuli. This home country of the poet Cees (*) Nooteboom is the setting of a work whose author recalls a youthful crush on Petel and her interactions with the dentist Dussel. That work set in this country is in the form of a series of letters to ""Kitty"" that often involve the author's sister, Margot, and father, Otto. For 10 points, name this country in which Anne Frank hid while writing her diary. ","the _Netherlands_ [accept _Holland_]","Literature - Euro","Myers","True","Packet 02","999","","12739"
"This artist was the first to use modern European letters instead of Gothic script in an altarpiece for the Cascia di Reggello; that work possibly includes the shahada in Mary's Halo. This artist collaborated with his brother and Andrea di Guisto to paint ~Madonna and Child with Angels~ for the Santa Maria del Carmine. ""I was once what you are, and what I am you will become"" can be read above a skeleton in a painting by this artist that shows God holding the crucified Christ. This artist of the San (*) Giovenale triptych depicted a pink-clad angel with a sword expelling a crying Adam and Eve from Eden in one fresco. Another fresco by this artist depicts Peter extracting a coin from a fish's mouth on its left side and him handing the coin to a tax collector on the right. For 10 points, identify this artist whose frescoes in the Brancacci Chapel include ~The Tribute Money~.","_Masaccio_ [or _Tommaso di Ser Giovanni_ di Simone; prompt on partial] ","Arts - Painting","Suttell","True","Packet 03","999","CPiGuy: masolino is too early||Hbunker: I'd move that whole clue down. I guess Masolino used to come up a lot and people used that knowledge.||","12741"
"The arsonist grandfather of a character in this novel either drowns or becomes a the head of a fire insurance company in America. This novel ends with the protagonist laughing while reciting a nursery rhyme about the ""Black witch."" That protagonist of this novel later joins a jazz band with Klepp and Scholle. A boy is frequently called Jesus by a gang called ""The (*) Dusters"" in this book. A character in this novel is shot by Russians while trying to swallow a political pin. After finding the finger of Sister Dorothea, the protagonist of this novel is confined to an asylum for murdering her. The protagonist of this novel is able to shatter glass by screaming and decides to stop growing at age 3. For 10 points, identify this novel about Oskar Matzerath, the first book of the ~Danzig Trilogy~ by Gunter Grass."," ~The _Tin Drum_~ [or Die _Blechtrommel_]","Literature - Euro","Suttell","False","Packet 12","999","","12742"
"During one crisis over who would take this post, popularly known as the ""Three Governors Crisis"", Ellis Arnall refused to leave a state capitol building after the state legislature elected the outgoing governor's son, Herman Talmadge. One holder of this post rose to fame after attacking an African-American customer attempting to integrate his barbeque restaurant with an axe handle. Arnall later ran as an independent for this position in 1966, thus denying Howard Callaway a majority and allowing the state legislature to appoint Lester (*) Maddox. One holder of this position, Zell Miller, challenged Chris Matthews to a duel before switching parties. One man who held this position before becoming president gave the ""Malaise"" speech and presided over the Iran Hostage Crisis. For 10 points, name this office held by Jimmy Carter before his election as president.","_Governor_ of _Georgia_","History - US","Myers","False","Packet 10","999","","12744"
"A function of this quantity and the density matrix is multiplied by  negative ~i~ divided ~h~ bar in the first term in the Lindblad master equation. For a phonon, this quantity can be calculated by quadratic form as the sum of the product of frequency terms times two operators which are differentiated by a plus sign. In one approach to quantum field theory, the S matrix may be calculated by the integral of the time-ordered product, which is a function of this quantity which generates the (*) time evolution operator. This quantity is equal to negative ~h~ bar squared divided by twice the mass times the second derivative with respect to ~x~ in the 1D particle in a box. This quantity is the Legendre transform of the Lagrangian, and this operator is applied to the wave function in the time-independent Schrödinger equation. For 10 points, name this operator, that for a system, returns the total energy of a physical system.","_Hamiltonian_ operator [prompt on ""__total energy__""]","Science - Physics","Bunker","False","Packet 09","999","incorvat: 1d particle in a box hamiltonian is way too early imo; I would move it after the S matrix clue and put it as the first thing out of power||Hbunker: >In the Dirac formalism, the eigenfunctions of this quantity form an orthogonal basis for the Hilbert space. Is not a good clue because this clue holds for ""many"" other operators. ||Hbunker: added another clue||touchpack: 1) Just say ""total energy of a system"" or something like that in the giveaway. 2) Operators do not ""take"" things--""this operator is applied to the wavefunction"" is better. 3) I find it quite unlikely that the S-matrix is solely a function of the Hamiltonian (too lazy to look it up but I'm guessing it's a e^(-i*H*t) factor thing?). 4) What are b and b-plus? Is this standard notation? I've never heard of them and wonder if there's a good reason to be coy here. 5) The leadin is both transparent (don't say ""in quantum mechanics"") and also not unique--most operators in QM are Hermitian, and looking at the Lindblad equation, you could say density matrix and that would also be correct.||","12745"
"In one 1927 supreme court case, Cumming v. Board of Education was cited to deny permission for a member of this ethnic group to send his daughter, Martha, to Rosedale, Mississippi's white school. In another case that established the principle that discriminatory enforcement of non-discriminatory laws violates the 14th amendment, a member of this ethnic group successfully sued the fire warden Peter Hopkins for his unequal issuing of fines. In another case, a member of this ethnic group was stripped of his (*) citizenship after visiting relatives in his home country, and the supreme court ruled that members of this ethnic group could not have their queue hairstyles removed upon arrest in 1879. Many defendants of this ethnicity ran afoul of an Exclusion Act passed in 1885. For 10 points, name this ethnicity of Gong Lum, Wong Kim Ark, and Yick Wo.","_Chinese_-Americans [accept _Han_; prompt on __Asian__-Americans]","History - US","Myers","False","Packet 06","999","","12747"
"A telescope array named after this phenomenon can be used to measure the Redshift of Fermi Blazars. This phenomenon in used by a device that has to identify circles from a short number of points and uses the principle that the cosine of the angle of emission is inversely proportional to the charged particle's velocity. For a given frequency, the (*) Frank-Tamm formula yields the amount of this phenomenon. In addition to RICHs (R-I-C-Hs), detection of this phenomenon has been used for fast timing and time of flight measurements. When this phenomenon affects the phase velocity by period grating, the Smith-Purcell effect occurs. This phenomenon arises when a particle in a medium travels faster than the speed of light in the medium. For 10 points, name this type of radiation emitted by charged particles that appears as a bluish glow in the water of nuclear reactors.","Vavilov-_Cherenkov_ Radiation","Science - Physics","Bunker","False","Packet 04","999","emukherj: Gotta Frank-Tamm son||Hbunker: replace Smith Purcell clue?||Hbunker: Cut:""When this phenomenon affects the phase velocity by period grating, the (*) Smith-Purcell effect occurs."" and replaced with Frank-Tamm per Eric's suggestion. ||Hbunker: -rephrase RICH description||touchpack: The index of refraction clue is transparent quizbowlese, anyone that knows what Cerenkov radiation is and has a modicum of buzzer skills is gonna buzz there. I'd cut that (fold the threshold counter in with the RICH sentence) and move the clue about the angle of emission all the way down here--that clue is very easy, but still noticeably harder than the last two sentences.||Hbunker: beefed up this rather quickly||","12751"
"One character in this play displays his jealousy towards his brother Sam who recently joined the navy before dancing to a record with his girlfriend, Florence. Another character in this play is offered a job to make weekly reports on Dr. Brenner while assisting him in making poison gas. At the end of this play, a man exclaims ""Christ, cut us up to little pieces."" In this play, Edna threatens to leave her husband for an old friend, Ben Haas, during an argument in which she reveals their furniture has been (*) repossessed. A character with a glass eye gives a speech comparing communists to the ""bogey man"" after almost being silenced by Fatt and a gunman in this play's final scene, which reveals that the title character was found dead. Cab drivers attempt to strike for better pay in, for 10 points, what play by Clifford Odets?","~_Waiting for Lefty_~","Literature - American","Hijazi","True","Packet 09","999","ryan.rosenberg: Is the clue about the Soviet Union true? I read this fairly recently and have no recollection about that, nor can I find references to it online.||","12752"
"One student of this thinker collaborated with the composer Fred Lerdahl on a theory of musical cognition; that Tufts University scholar is Ray Jackendoff. This thinker proposed a figure named ""Prometheus"" who brought the ability of ""merge"" to humanity in his 2015 book, ~Why Only Us~. This thinker published a series of ~Lectures on Government and Binding~, which expanded on the ideas in his most famous work. This thinker's ideas were challenged by Daniel (*) Everett, who studied the Piraha language.  This author created the nonsensical example sentence ""Colorless green ideas sleep furiously"" to support his theory of generative syntax. This author of ~Syntactic Structures~ is most famous for proposing the existence of a Universal Grammar. For 10 points, name this MIT linguist.","Noam _Chomsky_","Social Science - Linguistics","Myers","False","Packet 13","999","Hbunker: specify everett clue||Hbunker: note to edit this tossup (Jakob or Conor probably)I also added a preliminary powermark||","12753"
"A slow ""re-connection"" associated with these systems occurs due to a localized diffusion region in the Sweet Parker mechanism. One equation that describes these systems sets two divided by the third power of the thermal de Broglie (de ""Braw"") wavelength times a ratio of degeneracy coefficients times an exponential term. These substances, described by the (*) Saha-Langmuir equation, exhibit low frequency waves caused by effective tension in the magnetic field named after Alfven. Toroidal tokamaks produce fusion reactions using these substances whose scale over which mobile charge carriers screen out electric fields is determined by the Debye Length. Ionized gas is another name for, for 10 points, what fourth state of matter?","_Plasma_","Science - Physics","Bunker","False","Packet 13","999","incorvat: god i dont really have anything for this but i just wanna say this tossup is fucking good. maybe debye length a bit earlier? like switch the order of the shit in that last sentence or smth idk||touchpack: 1) Tokamaks produce fusion reactions USING plasmas, not ""for"" them. Also, there's no such thing as a non-toroidal tokamak so that adjective is redundant. 2) ""Describes gases and these systems"" kinda gives the game away very quickly, and is probably unnecessary to point people towards the right answer. 3) Sweet-Parker is a bit easy for a leadin, mostly because of the Parker spiral. Also, the question drops a lot of clues before giving the pronoun.||Hbunker: add another clue later||","12754"
"The theme and variation third movement of a work in this genre opens with the three pairs of descending quarter notes G-E-flat, E-flat-D, D-C. Friedrich Khulau's only forary into this genre, his opus 7, was modeled on a Beethoven work in this genre that begins with four C major chords. A work in this genre begins with four note ascending runs under syncopated D-minor chords. Another work in this genre begins with a soft chord progression in the tonic key of G major before an immediate restatement in the key of B major. A work in this genre begins with a (*) tympani roll crescendo before the soloist enters on a forte A. That work in this genre by Grieg was influenced by an A-minor piece in this genre by Schumann. Beethoven's fifth work in this genre is nicknamed ""Emperor"", while Ravel wrote a D major one for the left hand. For 10 points, name this genre featuring a solo keyboard instrument with orchestra. ","_piano concerto_ ","Arts - Classical Music","Su","False","Packet 11","999","Hbunker: this tossup is rather hard||Hbunker: omit reference to Kuhlau and change to something easier||joesu235: fixed||","12757"
"This number is the higher of the two that form the ratio of the simplest just intonation minor third. In figured bass, when notating a second or third inversion seventh chord, this number is commonly [emphasize] ~excluded~. The scherzo movement of a symphony of this number begins with pounding A's in the tympani and basses before the horns and second violins play a pair of ascending D, E, F's emphasizing the E. Alexander Scriabin's ""Prometheus"" chord has this many distinct notes. This number names a family of (*) augmented chords such as Italian, French and German. Most commonly, a deceptive cadence resolves on the scale degree of this number. Mahler's symphony of this number includes three hammer blows of fate, while Beethoven's symphony of numbers includes a movement titled ""Scene by the brook"". For 10 points, give this number of Mahler's ~Tragic~ and Beethoven's ~Pastoral~ symphonies. ","_Six_","Arts - Classical Music","Su","False","Packet 01","999","CPiGuy: according to Michael the last C-sharp is a dotted half||Hbunker: Change ""Bob"" clue to a clue about Beethoven 6||Hbunker: ""This many overtones above a fundamental C is a B-flat just under three octaves higher. "" is apparently ""near impossible"" to buzz on during a game.||joesu235: experienced brass players should be able to figure out the overtones clue, I'm going to leave it as is ||","12758"
